NUTS_ID,year,vehicle_stock
AT11,1999,157882.0
AT11,2000,151579.0
AT11,2001,155060.0
AT11,2002,155229.0
AT11,2003,157662.0
AT11,2004,159505.0
AT11,2005,161983.0
AT11,2006,163963.0
AT11,2007,165894.0
AT11,2008,164960.0
AT11,2009,165314.0
AT11,2010,166054.0
AT11,2011,167099.0
AT11,2012,168305.0
AT11,2013,169514.0
AT11,2014,170725.0
AT11,2015,171857.0
AT11,2016,173112.0
AT11,2017,174334.0
AT11,2018,175558.0
AT11,2019,176785.0
AT11,2020,178187.0
AT11,2021,177964.0
AT11,2022,179193.0
AT11,2023,180424.0
AT11,2024,181659.0
AT11,2025,184033.0
AT11,2026,183741.0
AT11,2027,184966.0
AT11,2028,186193.0
AT11,2029,187423.0
AT11,2030,188527.0
AT12,1999,846161.0
AT12,2000,863963.0
AT12,2001,883910.0
AT12,2002,862069.0
AT12,2003,868295.0
AT12,2004,873885.0
AT12,2005,891733.0
AT12,2006,903735.0
AT12,2007,914612.0
AT12,2008,926863.0
AT12,2009,932851.0
AT12,2010,939125.0
AT12,2011,943877.0
AT12,2012,952917.0
AT12,2013,961996.0
AT12,2014,971113.0
AT12,2015,979597.0
AT12,2016,988919.0
AT12,2017,998165.0
AT12,2018,1007448.0
AT12,2019,1016771.0
AT12,2020,1026237.0
AT12,2021,1020040.0
AT12,2022,1029386.0
AT12,2023,1038770.0
AT12,2024,1048193.0
AT12,2025,1068319.0
AT12,2026,1062368.0
AT12,2027,1071674.0
AT12,2028,1081017.0
AT12,2029,1090395.0
AT12,2030,1098734.0
AT13,1999,630523.0
AT13,2000,639094.0
AT13,2001,648253.0
AT13,2002,651346.0
AT13,2003,655574.0
AT13,2004,664350.0
AT13,2005,671949.0
AT13,2006,668093.0
AT13,2007,666729.0
AT13,2008,664035.0
AT13,2009,661039.0
AT13,2010,670695.0
AT13,2011,660071.0
AT13,2012,660769.0
AT13,2013,661422.0
AT13,2014,662028.0
AT13,2015,662386.0
AT13,2016,662381.0
AT13,2017,662875.0
AT13,2018,663324.0
AT13,2019,663726.0
AT13,2020,660053.0
AT13,2021,644947.0
AT13,2022,645321.0
AT13,2023,645650.0
AT13,2024,645933.0
AT13,2025,652667.0
AT13,2026,640692.0
AT13,2027,640630.0
AT13,2028,640525.0
AT13,2029,640377.0
AT13,2030,639905.0
AT21,1999,304514.0
AT21,2000,311976.0
AT21,2001,319988.0
AT21,2002,288097.0
AT21,2003,293126.0
AT21,2004,293178.0
AT21,2005,299093.0
AT21,2006,303176.0
AT21,2007,306758.0
AT21,2008,309396.0
AT21,2009,312284.0
AT21,2010,317646.0
AT21,2011,321288.0
AT21,2012,323931.0
AT21,2013,326575.0
AT21,2014,329221.0
AT21,2015,331707.0
AT21,2016,334503.0
AT21,2017,337152.0
AT21,2018,339801.0
AT21,2019,342451.0
AT21,2020,345995.0
AT21,2021,347460.0
AT21,2022,350110.0
AT21,2023,352762.0
AT21,2024,355414.0
AT21,2025,359652.0
AT21,2026,360630.0
AT21,2027,363281.0
AT21,2028,365932.0
AT21,2029,368584.0
AT21,2030,371004.0
AT22,1999,638874.0
AT22,2000,652850.0
AT22,2001,669073.0
AT22,2002,614092.0
AT22,2003,625275.0
AT22,2004,627270.0
AT22,2005,637094.0
AT22,2006,639996.0
AT22,2007,644622.0
AT22,2008,650142.0
AT22,2009,654689.0
AT22,2010,665970.0
AT22,2011,669248.0
AT22,2012,673534.0
AT22,2013,677830.0
AT22,2014,682136.0
AT22,2015,686151.0
AT22,2016,690591.0
AT22,2017,694932.0
AT22,2018,699284.0
AT22,2019,703646.0
AT22,2020,708467.0
AT22,2021,707066.0
AT22,2022,711435.0
AT22,2023,715813.0
AT22,2024,720201.0
AT22,2025,728897.0
AT22,2026,727372.0
AT22,2027,731714.0
AT22,2028,736066.0
AT22,2029,740427.0
AT22,2030,744331.0
AT31,1999,716989.0
AT31,2000,732434.0
AT31,2001,750302.0
